sequence_name,clade
A/swine/USA/2013028053/2013|A_/_H3N1|3C.3a|2013-05-01|HA|4||EPI_ISL_163908,2010.1
A/swine/North_Carolina/A01840071/2014|A_/_H3N2|unassigned|2014-12-03|HA|4||EPI_ISL_174301,1990.4.a
A/swine/Minnesota/A02245422/2020|A_/_H3N2|unassigned|2020-02-24|HA|4||EPI_ISL_503908,2010.1
A/swine/Maryland/A01764024/2017|A_/_H3N2|unassigned|2017-09-23|HA|4||EPI_ISL_284721,2010.1
A/swine/Ohio/10SW134/2010|A_/_H3N2|unassigned|2010-08-12|HA|4||EPI_ISL_133841,1990.4.a
A/swine/NE/A01101010/2011|A_/_H3N2|unassigned|2011-12-05|HA|4||EPI_ISL_109913,1990.4.f
A/swine/North_Carolina/A01781199/2016|A_/_H3N2|unassigned|2016-09-08|HA|4||EPI_ISL_243373,1990.4.b2
A/swine/North_Carolina/A02750710/2022|A_/_H3N2|unassigned|2022-07-11|HA|4||EPI_ISL_14931871,1990.4.a
A/swine/Minnesota/A02245724/2020|A_/_H3N2|unassigned|2020-09-30|HA|4||EPI_ISL_697666,1990.4.a
A/swine/Iowa/A01778368/2016|A_/_H3N2|unassigned|2016-08-03|HA|4||EPI_ISL_234578,2010.1
A/swine/Indiana/25TOSU1570/2025|A_/_H3N2|unassigned|2025-06-11|HA|4||EPI_ISL_20191313,2010.1
A/swine/Indiana/A02862935/2024|A_/_H3N2|unassigned|2024-10-01|HA|4||EPI_ISL_19521824,2010.2
A/swine/Arkansas/A01555074/2014|A_/_H3N2|unassigned|2014-11-24|HA|4||EPI_ISL_174304,1990.4.a
A/swine/Iowa/03734/2011|A_/_H3N2|unassigned|2011-01-24|HA|4||EPI_ISL_151000,1990.4
A/swine/Indiana/A02758602/2023|A_/_H3N2|unassigned|2023-02-02|HA|4||EPI_ISL_17184164,2010.2
A/swine/Iowa/16TOSU2418/2016|A_/_H3N2|unassigned|2016-06-09|HA|4||EPI_ISL_253987,2010.1
A/Swine/Colorado/23619/99|A_/_H3N2|unassigned|1999-01-01|HA|4||EPI_ISL_1751,
A/swine/Minnesota/A02245776/2020|A_/_H3N2|unassigned|2020-11-02|HA|4||EPI_ISL_4081675,1990.4.a
A/swine/Kansas/A02245241/2019|A_/_H3N2|unassigned|2019-09-13|HA|4||EPI_ISL_396133,1990.4.a
A/swine/Nebraska/101596/2023|A_/_H3|unassigned|2023-04-05|HA|4||EPI_ISL_19277748,2010.1
A/swine/Minnesota/A01300160/2012|A_/_H3N2|unassigned|2012-06-01|HA|4||EPI_ISL_130121,1990.4.b1
A/swine/Indiana/17TOSU2865/2017|A_/_H3N2|unassigned|2017-06-01|HA|4||EPI_ISL_373575,2010.1
A/swine/Indiana/101567/2019|A_/_H3|unassigned|2019-04-02|HA|4||EPI_ISL_19278411,2010.1
A/swine/Wisconsin/A02862481/2024|A_/_H3N2|3C.2|2024-04-01|HA|4||EPI_ISL_19072936,2010.1
A/swine/Iowa/A02154072/2018|A_/_H3N2|unassigned|2018-02-22|HA|4||EPI_ISL_305770,1990.4.a
A/swine/Minnesota/A01392044/2013|A_/_H3N2|unassigned|2013-09-10|HA|4||EPI_ISL_151705,1990.4.b1
A/swine/Iowa/A02154076/2018|A_/_H3N2|unassigned|2018-02-22|HA|4||EPI_ISL_305778,2010.1
A/swine/Illinois/25TOSU1814/2025|A_/_H3N2|unassigned|2025-06-25|HA|4||EPI_ISL_20191319,2010.1
A/swine/Iowa/101725/2019|A_/_H3|3C.2|2019-04-16|HA|4||EPI_ISL_19278405,2010.1
A/swine/North_Carolina/A02858654/2025|A_/_H3N2|unassigned|2025-05-30|HA|4||EPI_ISL_20051673,2010.1
A/swine/Kentucky/14TOSU24012/2014|A_/_H3N2|unassigned|2014-01-01|HA|4||EPI_ISL_200861,1990.4.b1
"Influenza A virus (A/swine/North Carolina/A02750800/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: North Carolina|Sus scrofa|2022-08-16|OP454957.1",1990.4.a
"Influenza A virus (A/swine/Minnesota/A02245670/2020(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Minnesota|Sus scrofa|2020-06-10|MT792682.1",1990.4.a
A/swine/Illinois/101032/2005|A_/_H3|unassigned|2005-03-04|HA|4||EPI_ISL_19279582,1990.4
A/swine/North_Carolina/A02978872/2024|A_/_H3N2|unassigned|2024-03-29|HA|4||EPI_ISL_19159714,2010.1
"Influenza A virus (A/swine/Texas/A01785616/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Texas|Sus scrofa|2018-09-11|MK024145.1",1990.4.a
A/swine/Iowa/13A016/2013|A_/_H3N2|unassigned|2013-01-28|HA|4||EPI_ISL_147198,1990.4.b2
A/swine/Minnesota/ISU-A02862174/2023|A_/_H3N2|3C.2|2023-12-20|HA|4||EPI_ISL_18847120,2010.1
A/swine/Nebraska/A01785381/2017|A_/_H3N2|unassigned|2017-12-07|HA|4||EPI_ISL_297148,1990.4.b2
A/swine/Iowa/A01941182/2015|A_/_H3N2|unassigned|2015-11-19|HA|4||EPI_ISL_205996,2010.1
A/swine/North_Carolina/A01300820/2012|A_/_H3N2|unassigned|2012-07-19|HA|4||EPI_ISL_130143,1990.4.a
"Influenza A virus (A/swine/Minnesota/A02245665/2020(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds |Alphainfluenzavirus influenzae|H3N2|USA: Minnesota|Sus scrofa|2020-06-01|MT780908.1",2010.1
A/swine/Iowa/A01409518/2013|A_/_H3N2|unassigned|2013-12-01|HA|4||EPI_ISL_155803,1990.4.a
A/swine/Kentucky/15TOSU2007/2015|A_/_H3N2|unassigned|2015-11-08|HA|4||EPI_ISL_245772,1990.4.b1
A/swine/Missouri/A02751448/2023|A_/_H3N2|unassigned|2023-01-03|HA|4||EPI_ISL_17184135,2010.1
A/swine/Nebraska/101918/2014|A_/_H3|3C.3a|2014-10-17|HA|4||EPI_ISL_19279264,1990.4.a
A/swine/Oklahoma/075901_A02862767/2024|A_/_H3N2|unassigned|2024-07-19|HA|4||EPI_ISL_19367265,2010.2
A/swine/Oklahoma/A02711828/2022|A_/_H3N2|unassigned|2022-05-06|HA|4||EPI_ISL_14224057,2010.1
A/swine/Missouri/A02636066/2021|A_/_H3N2|unassigned|2021-08-17|HA|4||EPI_ISL_6781462,2010.1
A/swine/Minnesota/A01785496/2018|A_/_H3N2|unassigned|2018-04-05|HA|4||EPI_ISL_329619,2010.1
A/swine/Ohio/A02635702/2021|A_/_H3N2|unassigned|2021-04-19|HA|4||EPI_ISL_4083623,1990.4.a
A/swine/Minnesota/A01678498/2017|A_/_H3N2|unassigned|2017-06-29|HA|4||EPI_ISL_278763,2010.1
A/swine/North_Carolina/A01945976/2015|A_/_H3N2|unassigned|2015-10-27|HA|4||EPI_ISL_205327,1990.4.a
A/swine/Iowa/17TOSU7821/2017|A_/_H3N2|unassigned|2017-08-01|HA|4||EPI_ISL_379302,2010.1
A/swine/Minnesota/A01667099/2017|A_/_H3N2|unassigned|2017-03-09|HA|4||EPI_ISL_262590,2010.1
"Influenza A virus (A/swine/Nebraska/A02269997/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Nebraska|Sus scrofa|2018-11-13|MK358900.1",2010.1
A/swine/Ohio/A02636432/2022|A_/_H3N2|3C.2a1|2022-01-20|HA|4||EPI_ISL_14775852,2010.2
A/swine/Minnesota/ISU-A02862066/2023|A_/_H3N2|3C.3a|2023-11-21|HA|4||EPI_ISL_18701685,1990.4.a
A/swine/Nebraska/A01476165/2014|A_/_H3N2|unassigned|2014-07-28|HA|4||EPI_ISL_166548,1990.4.a
A/swine/North_Carolina/A01076178/2009|A_/_H3N2|unassigned|2009-12-06|HA|4||EPI_ISL_104647,1990.4
A/swine/Oklahoma/00518/2005|A_/_H3N2|unassigned|2005-03-01|HA|4||EPI_ISL_151216,1990.4
A/swine/USA/A01291038/2013|A_/_H3N2|unassigned|2013-10-01|HA|4||EPI_ISL_150672,1990.4.a
"Influenza A virus (A/swine/Minnesota/A01785860/2019(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Minnesota|Sus scrofa|2019-01-21|MK512717.1",1990.4.i
A/swine/Nebraska/4B-0114-P25/2014|A_/_H3N2|unassigned|2014-01-01|HA|4||EPI_ISL_16705321,1990.4.a
A/swine/Minnesota/MT_12_07_525/2012|A_/_H3N2|unassigned|2012-01-04|HA|4||EPI_ISL_271074,1990.4.b2
A/swine/Ohio/A02685047/2023|A_/_H3N2|unassigned|2023-02-27|HA|4||EPI_ISL_17806006,2010.2
A/swine/Iowa/A02254778/2018|A_/_H3N2|unassigned|2018-08-03|HA|4||EPI_ISL_326822,2010.1
A/swine/Iowa/A02862513/2024|A_/_H3N2|3C.3a|2024-04-03|HA|4||EPI_ISL_19139966,1990.4.a
A/swine/Michigan/A02635708/2021|A_/_H3N2|unassigned|2021-04-20|HA|4||EPI_ISL_4083624,1990.4.a
A/swine/Iowa/A02525184/2021|A_/_H3N2|unassigned|2021-02-15|HA|4||EPI_ISL_4082023,1990.4.a
A/swine/Illinois/A01555570/2015|A_/_H3N2|unassigned|2015-02-19|HA|4||EPI_ISL_177894,1990.4.a
A/swine/Oklahoma/A02478660/2019|A_/_H3N2|unassigned|2019-09-04|HA|4||EPI_ISL_393557,2010.1
A/swine/Iowa/100702/2020|A_/_H3|unassigned|2020-10-14|HA|4||EPI_ISL_19278116,1990.4.b2
A/swine/Iowa/A02861511/2023|A_/_H3N2|unassigned|2023-05-17|HA|4||EPI_ISL_18042960,2010.1
A/swine/Iowa/20TOSU1811/2020|A_/_H3N2|unassigned|2020-07-09|HA|4||EPI_ISL_14224391,1990.4.a
A/swine/Iowa/101213/2010|A_/_H3|unassigned|2010-06-22|HA|4||EPI_ISL_19279418,1990.4
A/swine/Indiana/A02525066/2021|A_/_H3N2|unassigned|2021-01-14|HA|4||EPI_ISL_4081953,1990.4.a
A/swine/Ohio/A02862816/2024|A_/_H3N2|unassigned|2024-08-14|HA|4||EPI_ISL_19418470,2010.2
A/swine/Illinois/100517/2018|A_/_H3|3C.2|2018-09-14|HA|4||EPI_ISL_19278556,2010.1
A/swine/Missouri/ISU-A02861950/2023|A_/_H3N2|unassigned|2023-10-25|HA|4||EPI_ISL_18777080,2010.1
A/swine/Nebraska/A02635893/2021|A_/_H3N2|unassigned|2021-06-14|HA|4||EPI_ISL_4084482,1990.4.a
A/swine/Iowa/A01785594/2018|A_/_H3N2|unassigned|2018-08-03|HA|4||EPI_ISL_381144,2010.1
A/swine/Michigan/A01104095/2016|A_/_H3N2|unassigned|2016-07-28|HA|4||EPI_ISL_234573,2010.1
A/swine/Missouri/100755/2021|A_/_H3|unassigned|2021-03-12|HA|4||EPI_ISL_19278052,2010.1
A/swine/Oklahoma/A01678529/2017|A_/_H3N2|unassigned|2017-12-15|HA|4||EPI_ISL_296291,2010.2
A/swine/Indiana/A02861251/2023|A_/_H3N2|3C.2a1|2023-03-01|HA|4||EPI_ISL_17530179,2010.2
A/swine/Kansas/2015-14/2015|A_/_H3N2|unassigned|2015-12-18|HA|4||EPI_ISL_4083649,1990.4.a
A/swine/North_Carolina/A02138712/2017|A_/_H3N2|unassigned|2017-12-13|HA|4||EPI_ISL_295689,2010.1
"Influenza A virus (A/swine/Ohio/23TOSU4177/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa scrofa|2023-08-01|PP461281.1",1990.4.a
A/swine/North_Carolina/A01785542/2018|A_/_H3N2|unassigned|2018-05-21|HA|4||EPI_ISL_328626,2010.1
A/swine/Indiana/22TOSU1728/2022|A_/_H3N2|3C.2|2022-07-14|HA|4||EPI_ISL_17409657,2010.1
A/swine/Iowa/100885/2019|A_/_H3|3C.3a|2019-01-16|HA|4||EPI_ISL_19278458,1990.1
A/swine/Illinois/101107/2008|A_/_H3|unassigned|2008-05-19|HA|4||EPI_ISL_19279517,1990.4
A/swine/Illinois/A01493469/2014|A_/_H3N2|unassigned|2014-03-26|HA|4||EPI_ISL_162044,1990.4.e
A/swine/Ohio/23-1920/2023|A_/_H3N2|unassigned|2023-01-30|HA|4||EPI_ISL_20186017,2010.2
A/swine/Indiana/A02245887/2021|A_/_H3N2|unassigned|2021-03-26|HA|4||EPI_ISL_4083251,1990.4.a
A/swine/Nebraska/I037452/2025|A_/_H3N1|unassigned|2025-04-10|HA|4||EPI_ISL_19890476,1990.4.i
A/swine/Minnesota/A02245092/2019|A_/_H3N2|unassigned|2019-03-27|HA|4||EPI_ISL_366386,2010.1
A/swine/Iowa/A01300194/2012|A_/_H3N2|unassigned|2012-06-21|HA|4||EPI_ISL_130131,1990.4.b1
A/swine/Indiana/100786/2021|A_/_H3|3C.2|2021-11-09|HA|4||EPI_ISL_19277988,2010.1
A/swine/Indiana/24TOSU0896/2024|A_/_H3N2|3C.3a|2024-06-13|HA|4||EPI_ISL_19332121,1990.4.a
A/swine/Minnesota/A02245255/2019|A_/_H3N2|unassigned|2019-09-24|HA|4||EPI_ISL_396975,1990.4.a
A/swine/North_Dakota/004676_02859151/2025|A_/_H3N2|unassigned|2025-12-29|HA|4||EPI_ISL_20389284,2010.1
A/swine/Ohio/23-20587-2/2023|A_/_H3N2|unassigned|2023-08-29|HA|4||EPI_ISL_20186014,2010.2
A/swine/Nebraska/A01785951/2019|A_/_H3N2|unassigned|2019-02-07|HA|4||EPI_ISL_370650,1990.4.a
A/swine/Minnesota/A02979230/2024|A_/_H3N2|3C.2|2024-08-30|HA|4||EPI_ISL_19483718,2010.1
"Influenza A virus (A/swine/Minnesota/A02980496/2025(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa|2025-06-18|PX060483.1",1990.4.a
A/swine/Nebraska/A01493501/2014|A_/_H3N2|unassigned|2014-03-27|HA|4||EPI_ISL_162045,1990.4.a
A/swine/USA/17/2017|A_/_H3N2|3C.2a1|2017-10-20|HA|4||EPI_ISL_505850,2010.2
"Influenza A virus (A/swine/Nebraska/A02862417/2024(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Nebraska|Sus scrofa|2024-03-14|PP657368.1",1990.4.a
A/swine/Missouri/A02525068/2021|A_/_H3N2|unassigned|2021-01-07|HA|4||EPI_ISL_4081952,1990.4.a
A/swine/Illinois/101656/2022|A_/_H3|unassigned|2022-02-23|HA|4||EPI_ISL_19277938,2010.1
A/swine/Iowa/A02479018/2020|A_/_H3N2|unassigned|2020-01-22|HA|4||EPI_ISL_503434,2010.1
A/swine/Minnesota/A02979179/2024|A_/_H3N2|unassigned|2024-07-25|HA|4||EPI_ISL_19483726,1990.4.a
"Influenza A virus (A/swine/South Dakota/A01480341/2014(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa|2014-02-27|KJ588371.1",1990.4.a
A/swine/Minnesota/A01442410/2012|A_/_H3N2|unassigned|2012-03-26|HA|4||EPI_ISL_134291,1990.4.b1
A/swine/Minnesota/A02525137/2021|A_/_H3N2|unassigned|2021-02-02|HA|4||EPI_ISL_4082016,2010.1
A/swine/North_Carolina/A01785581/2018|A_/_H3N2|unassigned|2018-07-05|HA|4||EPI_ISL_327583,2010.1
A/swine/Minnesota/A01785393/2017|A_/_H3N2|unassigned|2017-12-20|HA|4||EPI_ISL_295649,2010.1
A/swine/Iowa/A02218427/2017|A_/_H3N2|unassigned|2017-07-13|HA|4||EPI_ISL_279726,2010.1
A/swine/Nebraska/A02524965/2020|A_/_H3N2|unassigned|2020-12-07|HA|4||EPI_ISL_4081854,2010.1
"Influenza A virus (A/swine/Nebraska/A01395831/2013(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Nebraska|Sus scrofa|2013-12-06|KJ013282.1",1990.4.a
A/swine/Minnesota/A02245584/2020|A_/_H3N2|unassigned|2020-04-07|HA|4||EPI_ISL_504151,1990.4.a
A/swine/Iowa/004520_02859008/2025|A_/_H3N2|unassigned|2025-10-21|HA|4||EPI_ISL_20389422,2010.1
A/swine/Iowa/A01049036/2010|A_/_H3N2|unassigned|2010-11-16|HA|4||EPI_ISL_109912,1990.4.e
A/swine/Iowa/13C040/2013|A_/_H3N2|unassigned|2013-03-26|HA|4||EPI_ISL_151132,1990.4.b2
"Influenza A virus (A/swine/Kentucky/23TOSU2156/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa scrofa|2023-07-05|PP461339.1",1990.4.a
A/swine/Iowa/A02525063/2021|A_/_H3N2|unassigned|2021-01-13|HA|4||EPI_ISL_4081982,1990.4.a
A/swine/Iowa/A02862887/2024|A_/_H3N2|3C.3a|2024-09-16|HA|4||EPI_ISL_19501191,1990.4.a
A/swine/Iowa/A02863144/2024|A_/_H3N2|3C.2|2024-11-14|HA|4||EPI_ISL_19633305,2010.1
A/swine/Kentucky/14TOSU23816/2014|A_/_H3N2|unassigned|2014-01-01|HA|4||EPI_ISL_200878,1990.4.b1
A/swine/Michigan/A02246908/2021|A_/_H3N2|unassigned|2021-12-30|HA|4||EPI_ISL_14769992,1990.4.a
A/swine/Ohio/A01797012/2015|A_/_H3N2|unassigned|2015-11-02|HA|4||EPI_ISL_205320,1990.4.a
A/swine/Michigan/A02254615/2018|A_/_H3N2|unassigned|2018-07-25|HA|4||EPI_ISL_326807,1990.4.b2
A/swine/Minnesota/01546/2007|A_/_H3N2|unassigned|2007-06-01|HA|4||EPI_ISL_190216,1990.4
A/swine/Texas/01822/2007|A_/_H3N1|unassigned|2007-10-25|HA|4||EPI_ISL_150871,1990.4.f
A/swine/North_Carolina/A01785849/2019|A_/_H3N2|unassigned|2019-01-11|HA|4||EPI_ISL_373531,2010.1
A/swine/Iowa/A02751151/2022|A_/_H3N2|3C.2|2022-10-31|HA|4||EPI_ISL_16925108,2010.1
A/swine/Nebraska/A02245526/2020|A_/_H3N2|unassigned|2020-03-05|HA|4||EPI_ISL_504044,2010.1
A/swine/North_Carolina/A02712155/2022|A_/_H3N2|unassigned|2022-09-27|HA|4||EPI_ISL_16212280,1990.4.a
A/swine/Michigan/100446/2017|A_/_H3|3C.2a2|2017-11-21|HA|4||EPI_ISL_19278711,Other-Human-2010-like
"Influenza A virus (A/swine/Texas/A02710697/2022(H3N?)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N?|USA: Texas|Sus scrofa|2022-01-21|ON427065.1",2010.1
A/swine/Iowa/ISU-A02862158/2023|A_/_H3N2|3C.2|2023-12-18|HA|4||EPI_ISL_18847093,2010.1
A/swine/Iowa/A02862905/2024|A_/_H3N2|3C.2|2024-09-23|HA|4||EPI_ISL_19521823,2010.1
A/swine/Minnesota/2/2012|A_/_H3N2|unassigned|2012-06-01|HA|4||EPI_ISL_122068,1990.4.e
A/swine/Iowa/101713/2019|A_/_H3|3C.3a|2019-10-09|HA|4||EPI_ISL_19278310,1990.4.a
A/swine/Iowa/A02636181/2021|A_/_H3N2|unassigned|2021-09-22|HA|4||EPI_ISL_6795333,1990.4.a
A/swine/Minnesota/761/2007|A_/_H3N2|unassigned|2007-01-01|HA|4||EPI_ISL_29807,1990.4
A/swine/Indiana/A00968344/2011|A_/_H3N2|unassigned|2011-09-08|HA|4||EPI_ISL_162014,1990.4.d
A/swine/Minnesota/01862/2007|A_/_H3N2|unassigned|2007-11-20|HA|4||EPI_ISL_96919,1990.4
A/swine/North_Carolina/A02248022/2021|A_/_H3N2|unassigned|2021-06-23|HA|4||EPI_ISL_4089865,1990.4.a
A/swine/Pennsylvania/A01076501/2010|A_/_H3N2|unassigned|2010-09-01|HA|4||EPI_ISL_123131,1990.4
A/swine/Minnesota/A01501738/2014|A_/_H3N2|unassigned|2014-06-10|HA|4||EPI_ISL_165151,1990.4.b1
A/swine/Oklahoma/004663_02859138/2025|A_/_H3N2|unassigned|2025-12-17|HA|4||EPI_ISL_20389198,2010.1
A/swine/Indiana/15TOSU0348/2015|A_/_H3N2|unassigned|2015-07-17|HA|4||EPI_ISL_243777,1990.4.a
A/swine/Michigan/22TOSU3731/2022|A_/_H3N2|3C.2|2022-08-06|HA|4||EPI_ISL_17409614,2010.1
A/swine/Iowa/A02478584/2019|A_/_H3N2|unassigned|2019-07-10|HA|4||EPI_ISL_381685,1990.4.a
A/swine/Iowa/ISU-A02862090/2023|A_/_H3N2|3C.3a|2023-11-29|HA|4||EPI_ISL_18737888,1990.4.a
A/swine/Minnesota/A01300213/2012|A_/_H3N2|unassigned|2012-06-15|HA|4||EPI_ISL_130140,1990.4.b1
A/swine/Indiana/A02245886/2021|A_/_H3N2|unassigned|2021-03-17|HA|4||EPI_ISL_4083267,1990.4.a
A/swine/Nebraska/4F-1113-P5/2013|A_/_H3N2|unassigned|2013-01-01|HA|4||EPI_ISL_16702404,1990.4.a
"Influenza A virus (A/swine/Texas/A02246911/2022(H3N?)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N?|USA: Texas|Sus scrofa|2022-01-06|OM654391.1",2010.1
A/swine/Minnesota/A01785237/2016|A_/_H3N1|unassigned|2016-10-24|HA|4||EPI_ISL_252546,2010.1
A/swine/North_Carolina/A02478740/2019|A_/_H3N2|unassigned|2019-10-11|HA|4||EPI_ISL_399606,2010.1
A/swine/Iowa/A01476428/2014|A_/_H3N2|unassigned|2014-09-16|HA|4||EPI_ISL_167978,1990.4.a
A/swine/Texas/A02711846/2022|A_/_H3N2|unassigned|2022-06-09|HA|4||EPI_ISL_14937250,2010.1
"Influenza A virus (A/swine/Iowa/A02636022/2021(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Iowa|Sus scrofa|2021-08-03|OK064060.1",2010.1
A/swine/Oklahoma/A01776961/2016|A_/_H3N2|unassigned|2016-06-20|HA|4||EPI_ISL_234304,1990.4.a
A/swine/Iowa/A02219545/2017|A_/_H3N2|unassigned|2017-08-09|HA|4||EPI_ISL_281993,2010.1
A/swine/Minnesota/A02245357/2019|A_/_H3N2|unassigned|2019-12-12|HA|4||EPI_ISL_503340,1990.4.a
A/swine/Iowa/A02430278/2019|A_/_H3N2|unassigned|2019-02-08|HA|4||EPI_ISL_370659,1990.4.a
A/swine/Iowa/A01203121/2012|A_/_H3N2|unassigned|2012-01-05|HA|4||EPI_ISL_127882,1990.4.f
"Influenza A virus (A/swine/Iowa/A02524773/2020(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Iowa|Sus scrofa|2020-10-21|MW266875.1",1990.4.a
A/swine/Minnesota/A01940153/2015|A_/_H3N2|unassigned|2015-08-17|HA|4||EPI_ISL_200989,1990.4.a
A/swine/North_Carolina/A02479052/2020|A_/_H3N2|unassigned|2020-02-06|HA|4||EPI_ISL_503616,1990.4.a
A/swine/Nebraska/A02169069/2018|A_/_H3N2|unassigned|2018-05-16|HA|4||EPI_ISL_328483,1990.4.a
A/swine/North_Carolina/A02245215/2019|A_/_H3N2|unassigned|2019-08-15|HA|4||EPI_ISL_393500,2010.1
A/swine/Indiana/A02750638/2022|A_/_H3N2|unassigned|2022-06-08|HA|4||EPI_ISL_14871359,1990.4.a
A/swine/Kansas/UCHI-A02978545/2023|A_/_H3N2|unassigned|2023-08-17|HA|4||EPI_ISL_18388384,2010.1
A/swine/Missouri/A01840324/2015|A_/_H3N2|unassigned|2015-01-08|HA|4||EPI_ISL_180673,2010.1
A/swine/Utah/A02268698/2018|A_/_H3N2|unassigned|2018-11-02|HA|4||EPI_ISL_378870,2010.1
A/swine/Ohio/OH-18-7965/2018|A_/_H3N2|unassigned|2018-04-09|HA|4||EPI_ISL_311325,1990.4.a
A/swine/Missouri/A02635727/2021|A_/_H3N2|unassigned|2021-04-21|HA|4||EPI_ISL_4083601,2010.1
A/swine/Ohio/A02858318/2025|A_/_H3N2|unassigned|2025-01-22|HA|4||EPI_ISL_19764707,2010.2
A/swine/Illinois/A01840991/2015|A_/_H3N2|unassigned|2015-03-11|HA|4||EPI_ISL_181109,1990.4.a
A/swine/Iowa/A02478700/2019|A_/_H3N2|unassigned|2019-09-24|HA|4||EPI_ISL_399372,1990.4.a
A/swine/Wyoming/A01381202/2013|A_/_H3N2|unassigned|2013-05-21|HA|4||EPI_ISL_143876,1990.4.a
A/swine/Ohio/A02862316/2024|A_/_H3N2|unassigned|2024-02-20|HA|4||EPI_ISL_19219654,2010.1
A/swine/Missouri/A02524505/2020|A_/_H3N2|unassigned|2020-07-27|HA|4||EPI_ISL_707119,1990.4.a
A/swine/Illinois/A01462759/2015|A_/_H3N2|unassigned|2015-02-02|HA|4||EPI_ISL_177878,1990.4.b2
A/swine/Minnesota/A01785491/2018|A_/_H3N2|unassigned|2018-03-30|HA|4||EPI_ISL_311224,2010.1
A/swine/Iowa/A02479059/2020|A_/_H3N2|unassigned|2020-02-06|HA|4||EPI_ISL_503729,1990.4.a
A/swine/Illinois/A01820084/2015|A_/_H3N2|unassigned|2015-03-17|HA|4||EPI_ISL_179573,1990.4.e
A/swine/Iowa/A02862812/2024|A_/_H3N2|3C.2|2024-08-13|HA|4||EPI_ISL_19418483,2010.1
A/swine/Nebraska/A02158807/2018|A_/_H3N2|unassigned|2018-05-23|HA|4||EPI_ISL_328731,1990.4.a
"Influenza A virus (A/swine/Ohio/20TOSU3245/2020(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa scrofa|2020-08-28|OP655058.1",1990.4.a
A/swine/Illinois/101625/2022|A_/_H3|3C.3a|2022-09-28|HA|4||EPI_ISL_19277906,1990.4.a
"Influenza A virus (A/swine/Ohio/OH20-889/2020(H3N1)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N1|USA: Ohio|Sus scrofa|2020-01-14|OQ759646.1",2010.1
A/swine/Illinois/A01841768/2015|A_/_H3N2|unassigned|2015-03-26|HA|4||EPI_ISL_179605,1990.4.a
A/swine/Colorado/ISU-A02758606/2023|A_/_H3N2|3C.2a1b.2a.2a.1|2023-04-26|HA|4||EPI_ISL_18216805,Other-Human-2020
A/swine/Iowa/A02636096/2021|A_/_H3N2|unassigned|2021-08-30|HA|4||EPI_ISL_6785527,2010.1
A/swine/Ohio/OH-17-25426/2017|A_/_H3N2|unassigned|2017-11-10|HA|4||EPI_ISL_388920,2010.1
A/swine/Iowa/A01202657/2011|A_/_H3N2|unassigned|2011-10-04|HA|4||EPI_ISL_124310,1990.4.f
A/swine/North_Carolina/A02525198/2021|A_/_H3N2|unassigned|2021-02-22|HA|4||EPI_ISL_4082052,1990.4.a
A/swine/Oklahoma/A02246451/2021|A_/_H3N1|unassigned|2021-05-26|HA|4||EPI_ISL_4089874,2010.1
A/swine/Minnesota/A02980708/2025|A_/_H3N2|unassigned|2025-09-18|HA|4||EPI_ISL_20258463,1990.4.i
A/swine/North_Carolina/A01785410/2018|A_/_H3N2|unassigned|2018-01-05|HA|4||EPI_ISL_299189,2010.1
A/swine/Iowa/A01432886/2013|A_/_H3N2|unassigned|2013-07-01|HA|4||EPI_ISL_145752,1990.4.a
A/swine/Iowa/MT_12_07_3836/2012|A_/_H3N2|unassigned|2012-07-09|HA|4||EPI_ISL_271738,1990.4.f
