"sequence_name","clade","name_cleaned","location","date"
"A/swine/Ohio/13TOSU1221/2013|A_/_H3N2|unassigned|2013-07-01|HA|4|EPI_ISL_161182","unassigned","A/swine/Ohio/13TOSU1221/2013|A_/_H3N2|unassigned|2013-07-01|HA|4|EPI_ISL_161182","Ohio","2013-07-01"
"A/swine/Ohio/13TOSU1238/2013|A_/_H3N2|unassigned|2013-07-01|HA|4|EPI_ISL_161181","unassigned","A/swine/Ohio/13TOSU1238/2013|A_/_H3N2|unassigned|2013-07-01|HA|4|EPI_ISL_161181","Ohio","2013-07-01"
"A/swine/Ohio/13TOSU2194/2013|A_/_H3N2|unassigned|2013-09-01|HA|4|EPI_ISL_161187","1990.4.a","A/swine/Ohio/13TOSU2194/2013|A_/_H3N2|1990.4.a|2013-09-01|HA|4|EPI_ISL_161187","Ohio","2013-09-01"
"A/swine/Ohio/13TOSU2194/2013|A_/_H3N2|unassigned|2013-01-01|HA|4|EPI_ISL_16706630","unassigned","A/swine/Ohio/13TOSU2194/2013|A_/_H3N2|unassigned|2013-01-01|HA|4|EPI_ISL_16706630","Ohio","2013-01-01"
"A/swine/Ohio/13TOSU2194/2013|A_/_H3N2|3C.3a|2013-02-01|HA|4|EPI_ISL_16891343","unassigned","A/swine/Ohio/13TOSU2194/2013|A_/_H3N2|3C.3a|2013-02-01|HA|4|EPI_ISL_16891343","Ohio","2013-02-01"
"A/swine/Ohio/13TOSU0410/2013|A_/_H3N2|unassigned|2013-06-01|HA|4|EPI_ISL_161192","1990.4.a","A/swine/Ohio/13TOSU0410/2013|A_/_H3N2|1990.4.a|2013-06-01|HA|4|EPI_ISL_161192","Ohio","2013-06-01"
"A/swine/Indiana/13TOSU5238/2013|A_/_H3N2|unassigned|2013-08-31|HA|4|EPI_ISL_168309","1990.4.a","A/swine/Indiana/13TOSU5238/2013|A_/_H3N2|1990.4.a|2013-08-31|HA|4|EPI_ISL_168309","Indiana","2013-08-31"
"A/swine/Indiana/13TOSU1122/2013|A_/_H3N2|unassigned|2013-07-25|HA|4|EPI_ISL_150110","unassigned","A/swine/Indiana/13TOSU1122/2013|A_/_H3N2|unassigned|2013-07-25|HA|4|EPI_ISL_150110","Indiana","2013-07-25"
"A/swine/Indiana/A01260313/2013|A_/_H3N2|unassigned|2013-06-21|HA|4|EPI_ISL_147160","unassigned","A/swine/Indiana/A01260313/2013|A_/_H3N2|unassigned|2013-06-21|HA|4|EPI_ISL_147160","Indiana","2013-06-21"
"A/swine/Indiana/13TOSU1999/2013|A_/_H3N2|unassigned|2013-08-31|HA|4|EPI_ISL_168325","1990.4.a","A/swine/Indiana/13TOSU1999/2013|A_/_H3N2|1990.4.a|2013-08-31|HA|4|EPI_ISL_168325","Indiana","2013-08-31"
"A/swine/Michigan/A01259074/2013|A_/_H3N2|unassigned|2013-08-20|HA|4|EPI_ISL_148407","unassigned","A/swine/Michigan/A01259074/2013|A_/_H3N2|unassigned|2013-08-20|HA|4|EPI_ISL_148407","Michigan","2013-08-20"
"A/swine/Indiana/13TOSU4563/2013|A_/_H3N2|unassigned|2013-08-31|HA|4|EPI_ISL_168315","1990.4.a","A/swine/Indiana/13TOSU4563/2013|A_/_H3N2|1990.4.a|2013-08-31|HA|4|EPI_ISL_168315","Indiana","2013-08-31"
"A/swine/Indiana/13TOSU4561/2013|A_/_H3N2|unassigned|2013-08-31|HA|4|EPI_ISL_168336","unassigned","A/swine/Indiana/13TOSU4561/2013|A_/_H3N2|unassigned|2013-08-31|HA|4|EPI_ISL_168336","Indiana","2013-08-31"
"A/swine/Indiana/13TOSU1319/2013|A_/_H3N2|unassigned|2013-08-01|HA|4|EPI_ISL_161141","1990.4.a","A/swine/Indiana/13TOSU1319/2013|A_/_H3N2|1990.4.a|2013-08-01|HA|4|EPI_ISL_161141","Indiana","2013-08-01"
"A/swine/Illinois/A01394862/2013|A_/_H3N2|unassigned|2013-10-02|HA|4|EPI_ISL_151914","1990.4.a","A/swine/Illinois/A01394862/2013|A_/_H3N2|1990.4.a|2013-10-02|HA|4|EPI_ISL_151914","Illinois","2013-10-02"
"A/swine/Illinois/A01394861/2013|A_/_H3N2|unassigned|2013-10-02|HA|4|EPI_ISL_151921","unassigned","A/swine/Illinois/A01394861/2013|A_/_H3N2|unassigned|2013-10-02|HA|4|EPI_ISL_151921","Illinois","2013-10-02"
"A/swine/Illinois/A01392224/2013|A_/_H3N2|unassigned|2013-09-25|HA|4|EPI_ISL_150521","unassigned","A/swine/Illinois/A01392224/2013|A_/_H3N2|unassigned|2013-09-25|HA|4|EPI_ISL_150521","Illinois","2013-09-25"
"A/swine/Indiana/13TOSU1155/2013|A_/_H3N2|unassigned|2013-07-01|HA|4|EPI_ISL_161115","1990.4.a","A/swine/Indiana/13TOSU1155/2013|A_/_H3N2|1990.4.a|2013-07-01|HA|4|EPI_ISL_161115","Indiana","2013-07-01"
"A/swine/Illinois/A01427136/2013|A_/_H3N2|unassigned|2013-11-04|HA|4|EPI_ISL_154555","1990.4.a","A/swine/Illinois/A01427136/2013|A_/_H3N2|1990.4.a|2013-11-04|HA|4|EPI_ISL_154555","Illinois","2013-11-04"
"A/swine/Indiana/13TOSU5669/2013|A_/_H3N2|unassigned|2013-08-31|HA|4|EPI_ISL_168310","1990.4.a","A/swine/Indiana/13TOSU5669/2013|A_/_H3N2|1990.4.a|2013-08-31|HA|4|EPI_ISL_168310","Indiana","2013-08-31"
"A/swine/Indiana/13TOSU1050/2013|A_/_H3N2|unassigned|2013-07-01|HA|4|EPI_ISL_161158","unassigned","A/swine/Indiana/13TOSU1050/2013|A_/_H3N2|unassigned|2013-07-01|HA|4|EPI_ISL_161158","Indiana","2013-07-01"
"A/swine/Indiana/13TOSU1042/2013|A_/_H3N2|unassigned|2013-07-01|HA|4|EPI_ISL_161184","unassigned","A/swine/Indiana/13TOSU1042/2013|A_/_H3N2|unassigned|2013-07-01|HA|4|EPI_ISL_161184","Indiana","2013-07-01"
"A/swine/Ohio/13TOSU0726/2013|A_/_H3N2|unassigned|2013-07-31|HA|4|EPI_ISL_168312","1990.4.a","A/swine/Ohio/13TOSU0726/2013|A_/_H3N2|1990.4.a|2013-07-31|HA|4|EPI_ISL_168312","Ohio","2013-07-31"
"A/swine/Indiana/13TOSU482/2013|A_/_H3N2|unassigned|2013-06-27|HA|4|EPI_ISL_146016","1990.4.a","A/swine/Indiana/13TOSU482/2013|A_/_H3N2|1990.4.a|2013-06-27|HA|4|EPI_ISL_146016","Indiana","2013-06-27"
"A/swine/Indiana/13TOSU490/2013|A_/_H3N2|unassigned|2013-06-27|HA|4|EPI_ISL_146017","unassigned","A/swine/Indiana/13TOSU490/2013|A_/_H3N2|unassigned|2013-06-27|HA|4|EPI_ISL_146017","Indiana","2013-06-27"
"A/swine/Iowa/A01432817/2013|A_/_H3N2|unassigned|2013-06-01|HA|4|EPI_ISL_147157","1990.4.a","A/swine/Iowa/A01432817/2013|A_/_H3N2|1990.4.a|2013-06-01|HA|4|EPI_ISL_147157","Iowa","2013-06-01"
"A/swine/Illinois/A01432795/2013|A_/_H3N2|unassigned|2013-06-01|HA|4|EPI_ISL_144537","1990.4.a","A/swine/Illinois/A01432795/2013|A_/_H3N2|1990.4.a|2013-06-01|HA|4|EPI_ISL_144537","Illinois","2013-06-01"
"A/swine/Indiana/13TOSU1128/2013|A_/_H3N2|unassigned|2013-07-25|HA|4|EPI_ISL_150111","1990.4.a","A/swine/Indiana/13TOSU1128/2013|A_/_H3N2|1990.4.a|2013-07-25|HA|4|EPI_ISL_150111","Indiana","2013-07-25"
"A/swine/Iowa/13H065/2013|A_/_H3N2|unassigned|2013-08-28|HA|4|EPI_ISL_164907","1990.4.a","A/swine/Iowa/13H065/2013|A_/_H3N2|1990.4.a|2013-08-28|HA|4|EPI_ISL_164907","Iowa","2013-08-28"
"A/swine/Iowa/13H076/2013|A_/_H3N2|unassigned|2013-08-28|HA|4|EPI_ISL_164908","unassigned","A/swine/Iowa/13H076/2013|A_/_H3N2|unassigned|2013-08-28|HA|4|EPI_ISL_164908","Iowa","2013-08-28"
"A/swine/Iowa/13H073/2013|A_/_H3N2|unassigned|2013-08-28|HA|4|EPI_ISL_164909","unassigned","A/swine/Iowa/13H073/2013|A_/_H3N2|unassigned|2013-08-28|HA|4|EPI_ISL_164909","Iowa","2013-08-28"
"A/swine/Iowa/13H090/2013|A_/_H3N2|unassigned|2013-08-28|HA|4|EPI_ISL_167146","unassigned","A/swine/Iowa/13H090/2013|A_/_H3N2|unassigned|2013-08-28|HA|4|EPI_ISL_167146","Iowa","2013-08-28"
"A/swine/Iowa/13H092/2013|A_/_H3N2|unassigned|2013-08-28|HA|4|EPI_ISL_164910","1990.4.a","A/swine/Iowa/13H092/2013|A_/_H3N2|1990.4.a|2013-08-28|HA|4|EPI_ISL_164910","Iowa","2013-08-28"
"A/swine/Iowa/13H098/2013|A_/_H3N2|unassigned|2013-08-28|HA|4|EPI_ISL_167147","1990.4.a","A/swine/Iowa/13H098/2013|A_/_H3N2|1990.4.a|2013-08-28|HA|4|EPI_ISL_167147","Iowa","2013-08-28"
"A/swine/Indiana/A01260398/2013|A_/_H3N2|unassigned|2013-10-08|HA|4|EPI_ISL_153842","1990.4.a","A/swine/Indiana/A01260398/2013|A_/_H3N2|1990.4.a|2013-10-08|HA|4|EPI_ISL_153842","Indiana","2013-10-08"
"A/swine/Iowa/A01394595/2013|A_/_H3N2|unassigned|2013-10-30|HA|4|EPI_ISL_151919","1990.4.a","A/swine/Iowa/A01394595/2013|A_/_H3N2|1990.4.a|2013-10-30|HA|4|EPI_ISL_151919","Iowa","2013-10-30"
"A/swine/Minnesota/A01395294/2013|A_/_H3N2|unassigned|2013-11-19|HA|4|EPI_ISL_154321","1990.4.a","A/swine/Minnesota/A01395294/2013|A_/_H3N2|1990.4.a|2013-11-19|HA|4|EPI_ISL_154321","Minnesota","2013-11-19"
"A/swine/South_Dakota/A01350803/2013|A_/_H3N2|unassigned|2013-05-30|HA|4|EPI_ISL_143763","1990.4.a","A/swine/South Dakota/A01350803/2013|A_/_H3N2|1990.4.a|2013-05-30|HA|4|EPI_ISL_143763","South Dakota","2013-05-30"
"A/swine/Kentucky/D0385/2013|A_/_H3N2|unassigned|2013-05-20|HA|4|EPI_ISL_207088","1990.4.a","A/swine/Kentucky/D0385/2013|A_/_H3N2|1990.4.a|2013-05-20|HA|4|EPI_ISL_207088","Kentucky","2013-05-20"
"A/swine/Iowa/A01501240/2014|A_/_H3N2|unassigned|2014-05-19|HA|4|EPI_ISL_163958","1990.4.a","A/swine/Iowa/A01501240/2014|A_/_H3N2|1990.4.a|2014-05-19|HA|4|EPI_ISL_163958","Iowa","2014-05-19"
"A/swine/Iowa/A01501685/2014|A_/_H3N2|unassigned|2014-06-05|HA|4|EPI_ISL_165150","1990.4.a","A/swine/Iowa/A01501685/2014|A_/_H3N2|1990.4.a|2014-06-05|HA|4|EPI_ISL_165150","Iowa","2014-06-05"
"A/swine/Iowa/A01501046/2014|A_/_H3N2|unassigned|2014-05-13|HA|4|EPI_ISL_163653","1990.4.a","A/swine/Iowa/A01501046/2014|A_/_H3N2|1990.4.a|2014-05-13|HA|4|EPI_ISL_163653","Iowa","2014-05-13"
"A/swine/Iowa/A01565921/2014|A_/_H3N2|unassigned|2014-10-15|HA|4|EPI_ISL_171293","1990.4.a","A/swine/Iowa/A01565921/2014|A_/_H3N2|1990.4.a|2014-10-15|HA|4|EPI_ISL_171293","Iowa","2014-10-15"
"A/swine/Minnesota/A01350866/2013|A_/_H3N2|unassigned|2013-06-04|HA|4|EPI_ISL_143740","1990.4.a","A/swine/Minnesota/A01350866/2013|A_/_H3N2|1990.4.a|2013-06-04|HA|4|EPI_ISL_143740","Minnesota","2013-06-04"
"A/swine/Minnesota/A01366050/2013|A_/_H3N2|unassigned|2013-11-27|HA|4|EPI_ISL_154324","1990.4.a","A/swine/Minnesota/A01366050/2013|A_/_H3N2|1990.4.a|2013-11-27|HA|4|EPI_ISL_154324","Minnesota","2013-11-27"
"A/swine/South_Dakota/A01481811/2014|A_/_H3N2|unassigned|2014-06-17|HA|4|EPI_ISL_165171","1990.4.a","A/swine/South Dakota/A01481811/2014|A_/_H3N2|1990.4.a|2014-06-17|HA|4|EPI_ISL_165171","South Dakota","2014-06-17"
"A/swine/Indiana/A01203372/2012|A_/_H3N2|unassigned|2012-04-03|HA|4|EPI_ISL_127707","1990.4.a","A/swine/Indiana/A01203372/2012|A_/_H3N2|1990.4.a|2012-04-03|HA|4|EPI_ISL_127707","Indiana","2012-04-03"
"A/swine/Indiana/A01202621/2011|A_/_H3N2|unassigned|2011-09-28|HA|4|EPI_ISL_124316","1990.4.a","A/swine/Indiana/A01202621/2011|A_/_H3N2|1990.4.a|2011-09-28|HA|4|EPI_ISL_124316","Indiana","2011-09-28"
"A/swine/Indiana/A01290854/2013|A_/_H3N2|unassigned|2013-11-01|HA|4|EPI_ISL_154609","1990.4.a","A/swine/Indiana/A01290854/2013|A_/_H3N2|1990.4.a|2013-11-01|HA|4|EPI_ISL_154609","Indiana","2013-11-01"
"A/swine/North_Carolina/A01409048/2013|A_/_H3N2|unassigned|2013-11-01|HA|4|EPI_ISL_153733","1990.4.a","A/swine/North Carolina/A01409048/2013|A_/_H3N2|1990.4.a|2013-11-01|HA|4|EPI_ISL_153733","North Carolina","2013-11-01"
"A/swine/North_Carolina/A01409981/2014|A_/_H3N2|unassigned|2014-02-01|HA|4|EPI_ISL_157887","1990.4.a","A/swine/North Carolina/A01409981/2014|A_/_H3N2|1990.4.a|2014-02-01|HA|4|EPI_ISL_157887","North Carolina","2014-02-01"
"A/swine/North_Carolina/A01475277/2014|A_/_H3N2|unassigned|2014-04-01|HA|4|EPI_ISL_162319","1990.4.a","A/swine/North Carolina/A01475277/2014|A_/_H3N2|1990.4.a|2014-04-01|HA|4|EPI_ISL_162319","North Carolina","2014-04-01"
"A/swine/North_Carolina/A01203801/2012|A_/_H3N2|unassigned|2012-09-01|HA|4|EPI_ISL_129805","1990.4.a","A/swine/North Carolina/A01203801/2012|A_/_H3N2|1990.4.a|2012-09-01|HA|4|EPI_ISL_129805","North Carolina","2012-09-01"
"A/swine/North_Carolina/A01290442/2013|A_/_H3N2|unassigned|2013-09-01|HA|4|EPI_ISL_151718","1990.4.a","A/swine/North Carolina/A01290442/2013|A_/_H3N2|1990.4.a|2013-09-01|HA|4|EPI_ISL_151718","North Carolina","2013-09-01"
"A/swine/Iowa/A01290860/2013|A_/_H3N2|unassigned|2013-11-01|HA|4|EPI_ISL_154606","1990.4.a","A/swine/Iowa/A01290860/2013|A_/_H3N2|1990.4.a|2013-11-01|HA|4|EPI_ISL_154606","Iowa","2013-11-01"
"A/swine/Iowa/A01243736/2012|A_/_H3N2|unassigned|2012-07-25|HA|4|EPI_ISL_131213","1990.4.a","A/swine/Iowa/A01243736/2012|A_/_H3N2|1990.4.a|2012-07-25|HA|4|EPI_ISL_131213","Iowa","2012-07-25"
"A/swine/Tennessee/A01104055/2012|A_/_H3N2|unassigned|2012-10-25|HA|4|EPI_ISL_134281","1990.4.a","A/swine/Tennessee/A01104055/2012|A_/_H3N2|1990.4.a|2012-10-25|HA|4|EPI_ISL_134281","Tennessee","2012-10-25"
"A/swine/USA/A01409276/2013|A_/_H3N2|unassigned|2013-11-01|HA|4|EPI_ISL_154629","1990.4.a","A/swine/USA/A01409276/2013|A_/_H3N2|1990.4.a|2013-11-01|HA|4|EPI_ISL_154629","USA","2013-11-01"
"A/swine/Minnesota/A01349160/2013|A_/_H3N2|unassigned|2013-03-05|HA|4|EPI_ISL_139247","1990.4.a","A/swine/Minnesota/A01349160/2013|A_/_H3N2|1990.4.a|2013-03-05|HA|4|EPI_ISL_139247","Minnesota","2013-03-05"
"A/swine/North_Carolina/A01432997/2013|A_/_H3N2|unassigned|2013-08-01|HA|4|EPI_ISL_147731","1990.4.a","A/swine/North Carolina/A01432997/2013|A_/_H3N2|1990.4.a|2013-08-01|HA|4|EPI_ISL_147731","North Carolina","2013-08-01"
"A/swine/North_Carolina/A01432998/2013|A_/_H3N2|unassigned|2013-08-01|HA|4|EPI_ISL_147729","unassigned","A/swine/North Carolina/A01432998/2013|A_/_H3N2|unassigned|2013-08-01|HA|4|EPI_ISL_147729","North Carolina","2013-08-01"
"A/swine/North_Carolina/A01291329/2013|A_/_H3N2|unassigned|2013-09-01|HA|4|EPI_ISL_149666","1990.4.a","A/swine/North Carolina/A01291329/2013|A_/_H3N2|1990.4.a|2013-09-01|HA|4|EPI_ISL_149666","North Carolina","2013-09-01"
"A/swine/North_Carolina/A01364613/2013|A_/_H3N2|unassigned|2013-09-05|HA|4|EPI_ISL_149664","1990.4.a","A/swine/North Carolina/A01364613/2013|A_/_H3N2|1990.4.a|2013-09-05|HA|4|EPI_ISL_149664","North Carolina","2013-09-05"
"A/swine/North_Carolina/A01476074/2014|A_/_H3N2|unassigned|2014-07-09|HA|4|EPI_ISL_166573","1990.4.a","A/swine/North Carolina/A01476074/2014|A_/_H3N2|1990.4.a|2014-07-09|HA|4|EPI_ISL_166573","North Carolina","2014-07-09"
"A/swine/North_Carolina/A01410672/2014|A_/_H3N2|unassigned|2014-04-01|HA|4|EPI_ISL_162891","1990.4.a","A/swine/North Carolina/A01410672/2014|A_/_H3N2|1990.4.a|2014-04-01|HA|4|EPI_ISL_162891","North Carolina","2014-04-01"
"A/swine/Iowa/A01432529/2013|A_/_H3N2|unassigned|2013-03-01|HA|4|EPI_ISL_140699","1990.4.a","A/swine/Iowa/A01432529/2013|A_/_H3N2|1990.4.a|2013-03-01|HA|4|EPI_ISL_140699","Iowa","2013-03-01"
"A/swine/Indiana/A01260048/2012|A_/_H3N2|unassigned|2012-10-17|HA|4|EPI_ISL_132938","1990.4.a","A/swine/Indiana/A01260048/2012|A_/_H3N2|1990.4.a|2012-10-17|HA|4|EPI_ISL_132938","Indiana","2012-10-17"
"A/swine/Indiana/A01203521/2012|A_/_H3N2|unassigned|2012-05-15|HA|4|EPI_ISL_124051","1990.4.a","A/swine/Indiana/A01203521/2012|A_/_H3N2|1990.4.a|2012-05-15|HA|4|EPI_ISL_124051","Indiana","2012-05-15"
"A/swine/Indiana/A01203522/2012|A_/_H3N2|unassigned|2012-05-15|HA|4|EPI_ISL_124052","unassigned","A/swine/Indiana/A01203522/2012|A_/_H3N2|unassigned|2012-05-15|HA|4|EPI_ISL_124052","Indiana","2012-05-15"
"A/swine/Illinois/A01203812/2012|A_/_H3N2|unassigned|2012-09-01|HA|4|EPI_ISL_129801","1990.4.a","A/swine/Illinois/A01203812/2012|A_/_H3N2|1990.4.a|2012-09-01|HA|4|EPI_ISL_129801","Illinois","2012-09-01"
"A/swine/Illinois/A01327903/2012|A_/_H3N2|unassigned|2012-05-08|HA|4|EPI_ISL_130049","1990.4.a","A/swine/Illinois/A01327903/2012|A_/_H3N2|1990.4.a|2012-05-08|HA|4|EPI_ISL_130049","Illinois","2012-05-08"
"A/swine/Illinois/A01327905/2012|A_/_H3N2|unassigned|2012-05-08|HA|4|EPI_ISL_130054","unassigned","A/swine/Illinois/A01327905/2012|A_/_H3N2|unassigned|2012-05-08|HA|4|EPI_ISL_130054","Illinois","2012-05-08"
"A/swine/Indiana/13TOSU5730/2013|A_/_H3N2|unassigned|2013-08-31|HA|4|EPI_ISL_168299","1990.4.a","A/swine/Indiana/13TOSU5730/2013|A_/_H3N2|1990.4.a|2013-08-31|HA|4|EPI_ISL_168299","Indiana","2013-08-31"
"A/swine/Indiana/A01290320/2013|A_/_H3N2|unassigned|2013-08-01|HA|4|EPI_ISL_148308","1990.4.a","A/swine/Indiana/A01290320/2013|A_/_H3N2|1990.4.a|2013-08-01|HA|4|EPI_ISL_148308","Indiana","2013-08-01"
"A/swine/Iowa/A01481390/2014|A_/_H3N2|unassigned|2014-05-13|HA|4|EPI_ISL_163655","1990.4.a","A/swine/Iowa/A01481390/2014|A_/_H3N2|1990.4.a|2014-05-13|HA|4|EPI_ISL_163655","Iowa","2014-05-13"
"A/swine/Indiana/A01260135/2012|A_/_H3N2|unassigned|2012-11-16|HA|4|EPI_ISL_133670","1990.4.a","A/swine/Indiana/A01260135/2012|A_/_H3N2|1990.4.a|2012-11-16|HA|4|EPI_ISL_133670","Indiana","2012-11-16"
"A/swine/Ohio/A01567020/2014|A_/_H3N2|unassigned|2014-12-10|HA|4|EPI_ISL_182442","1990.4.a","A/swine/Ohio/A01567020/2014|A_/_H3N2|1990.4.a|2014-12-10|HA|4|EPI_ISL_182442","Ohio","2014-12-10"
"A/swine/Nebraska/A01567868/2015|A_/_H3N2|unassigned|2015-01-23|HA|4|EPI_ISL_180661","1990.4.a","A/swine/Nebraska/A01567868/2015|A_/_H3N2|1990.4.a|2015-01-23|HA|4|EPI_ISL_180661","Nebraska","2015-01-23"
"A/swine/Nebraska/A01566782/2014|A_/_H3N2|unassigned|2014-11-21|HA|4|EPI_ISL_182277","1990.4.a","A/swine/Nebraska/A01566782/2014|A_/_H3N2|1990.4.a|2014-11-21|HA|4|EPI_ISL_182277","Nebraska","2014-11-21"
"A/swine/Nebraska/A01781225/2016|A_/_H3N2|unassigned|2016-09-08|HA|4|EPI_ISL_237042","1990.4.a","A/swine/Nebraska/A01781225/2016|A_/_H3N2|1990.4.a|2016-09-08|HA|4|EPI_ISL_237042","Nebraska","2016-09-08"
"A/swine/Nebraska/A01395921/2013|A_/_H3N2|unassigned|2013-12-10|HA|4|EPI_ISL_156307","1990.4.a","A/swine/Nebraska/A01395921/2013|A_/_H3N2|1990.4.a|2013-12-10|HA|4|EPI_ISL_156307","Nebraska","2013-12-10"
"A/swine/Nebraska/A01491325/2014|A_/_H3N2|unassigned|2014-01-27|HA|4|EPI_ISL_157156","1990.4.a","A/swine/Nebraska/A01491325/2014|A_/_H3N2|1990.4.a|2014-01-27|HA|4|EPI_ISL_157156","Nebraska","2014-01-27"
"A/swine/Kansas/13-152087/2013|A_/_H3N2|unassigned|2013-12-02|HA|4|EPI_ISL_158897","1990.4.a","A/swine/Kansas/13-152087/2013|A_/_H3N2|1990.4.a|2013-12-02|HA|4|EPI_ISL_158897","Kansas","2013-12-02"
"A/swine/Nebraska/A01395901/2013|A_/_H3N2|unassigned|2013-12-10|HA|4|EPI_ISL_156311","1990.4.a","A/swine/Nebraska/A01395901/2013|A_/_H3N2|1990.4.a|2013-12-10|HA|4|EPI_ISL_156311","Nebraska","2013-12-10"
"A/swine/Nebraska/A01393702/2013|A_/_H3N2|unassigned|2013-12-16|HA|4|EPI_ISL_156314","1990.4.a","A/swine/Nebraska/A01393702/2013|A_/_H3N2|1990.4.a|2013-12-16|HA|4|EPI_ISL_156314","Nebraska","2013-12-16"
"A/swine/Minnesota/A01366913/2014|A_/_H3N2|unassigned|2014-01-31|HA|4|EPI_ISL_157169","1990.4.a","A/swine/Minnesota/A01366913/2014|A_/_H3N2|1990.4.a|2014-01-31|HA|4|EPI_ISL_157169","Minnesota","2014-01-31"
"A/swine/Nebraska/A01491558/2014|A_/_H3N2|unassigned|2014-02-03|HA|4|EPI_ISL_157614","1990.4.a","A/swine/Nebraska/A01491558/2014|A_/_H3N2|1990.4.a|2014-02-03|HA|4|EPI_ISL_157614","Nebraska","2014-02-03"
"A/swine/USA/A01291038/2013|A_/_H3N2|unassigned|2013-10-01|HA|4|EPI_ISL_150672","1990.4.a","A/swine/USA/A01291038/2013|A_/_H3N2|1990.4.a|2013-10-01|HA|4|EPI_ISL_150672","USA","2013-10-01"
"A/swine/South_Dakota/A01481928/2014|A_/_H3N2|unassigned|2014-06-25|HA|4|EPI_ISL_165237","1990.4.a","A/swine/South Dakota/A01481928/2014|A_/_H3N2|1990.4.a|2014-06-25|HA|4|EPI_ISL_165237","South Dakota","2014-06-25"
"A/swine/Iowa/A01480817/2014|A_/_H3N2|unassigned|2014-04-02|HA|4|EPI_ISL_162047","1990.4.a","A/swine/Iowa/A01480817/2014|A_/_H3N2|1990.4.a|2014-04-02|HA|4|EPI_ISL_162047","Iowa","2014-04-02"
"A/swine/South_Dakota/A01481392/2014|A_/_H3N2|unassigned|2014-05-13|HA|4|EPI_ISL_163637","1990.4.a","A/swine/South Dakota/A01481392/2014|A_/_H3N2|1990.4.a|2014-05-13|HA|4|EPI_ISL_163637","South Dakota","2014-05-13"
"A/swine/Illinois/A01489873/2014|A_/_H3N2|unassigned|2014-11-06|HA|4|EPI_ISL_177599","1990.4.a","A/swine/Illinois/A01489873/2014|A_/_H3N2|1990.4.a|2014-11-06|HA|4|EPI_ISL_177599","Illinois","2014-11-06"
"A/swine/Illinois/A01489874/2014|A_/_H3N2|unassigned|2014-11-11|HA|4|EPI_ISL_177601","1990.4.a","A/swine/Illinois/A01489874/2014|A_/_H3N2|1990.4.a|2014-11-11|HA|4|EPI_ISL_177601","Illinois","2014-11-11"
"A/swine/Kansas/13-152086/2013|A_/_H3N2|unassigned|2013-12-02|HA|4|EPI_ISL_158896","1990.4.a","A/swine/Kansas/13-152086/2013|A_/_H3N2|1990.4.a|2013-12-02|HA|4|EPI_ISL_158896","Kansas","2013-12-02"
"A/swine/South_Dakota/A01366093/2013|A_/_H3N2|unassigned|2013-12-03|HA|4|EPI_ISL_154594","1990.4.a","A/swine/South Dakota/A01366093/2013|A_/_H3N2|1990.4.a|2013-12-03|HA|4|EPI_ISL_154594","South Dakota","2013-12-03"
"A/swine/Illinois/A01770678/2015|A_/_H3N2|unassigned|2015-08-24|HA|4|EPI_ISL_200958","1990.4.a","A/swine/Illinois/A01770678/2015|A_/_H3N2|1990.4.a|2015-08-24|HA|4|EPI_ISL_200958","Illinois","2015-08-24"
"A/swine/Illinois/A01729658/2016|A_/_H3N2|unassigned|2016-01-14|HA|4|EPI_ISL_213786","1990.4.a","A/swine/Illinois/A01729658/2016|A_/_H3N2|1990.4.a|2016-01-14|HA|4|EPI_ISL_213786","Illinois","2016-01-14"
"A/swine/Illinois/A01554902/2015|A_/_H3N2|unassigned|2015-04-24|HA|4|EPI_ISL_190493","1990.4.a","A/swine/Illinois/A01554902/2015|A_/_H3N2|1990.4.a|2015-04-24|HA|4|EPI_ISL_190493","Illinois","2015-04-24"
"A/swine/Illinois/A01476977/2014|A_/_H3N2|unassigned|2014-11-13|HA|4|EPI_ISL_182297","1990.4.a","A/swine/Illinois/A01476977/2014|A_/_H3N2|1990.4.a|2014-11-13|HA|4|EPI_ISL_182297","Illinois","2014-11-13"
"A/swine/Ohio/A01280883/2013|A_/_H3N2|unassigned|2013-02-15|HA|4|EPI_ISL_138854","1990.4.a","A/swine/Ohio/A01280883/2013|A_/_H3N2|1990.4.a|2013-02-15|HA|4|EPI_ISL_138854","Ohio","2013-02-15"
"A/swine/Illinois/A01409735/2014|A_/_H3N2|unassigned|2014-01-01|HA|4|EPI_ISL_155780","1990.4.a","A/swine/Illinois/A01409735/2014|A_/_H3N2|1990.4.a|2014-01-01|HA|4|EPI_ISL_155780","Illinois","2014-01-01"
"A/swine/Illinois/1A-0314-G5/2014|A_/_H3N2|unassigned|2014-01-01|HA|4|EPI_ISL_16705685","unassigned","A/swine/Illinois/1A-0314-G5/2014|A_/_H3N2|unassigned|2014-01-01|HA|4|EPI_ISL_16705685","Illinois","2014-01-01"
"A/swine/Illinois/A01536079/2014|A_/_H3N2|unassigned|2014-02-24|HA|4|EPI_ISL_162913","unassigned","A/swine/Illinois/A01536079/2014|A_/_H3N2|unassigned|2014-02-24|HA|4|EPI_ISL_162913","Illinois","2014-02-24"
"A/swine/Illinois/1A-0314-G5/2014|A_/_H3N2|3C.3a|2014-02-01|HA|4|EPI_ISL_16891340","unassigned","A/swine/Illinois/1A-0314-G5/2014|A_/_H3N2|3C.3a|2014-02-01|HA|4|EPI_ISL_16891340","Illinois","2014-02-01"
